x,y,z
1.5846922,0.17130105,-0.17216058
1.0863332,2.9936163,0.14695612
-0.9811895,-0.370748,2.0026367
3.7680132,-0.15242779,-0.49186787
5.126573,1.6974319,0.8469125
3.4617555,0.18291923,-0.61208045
0.87376374,-2.6799114,1.330307
-2.5404153,1.791439,1.7658844
-3.0933678,0.69401956,-1.1668901
4.8366585,5.6483984,-5.922005
-3.0274267,-0.7897122,-0.25969705
3.31161,-0.09743999,0.82391846
-2.0432532,-0.57527137,-1.9170407
-2.3768158,1.689906,4.2897224
1.0116657,2.9603517,0.1808314
0.7768275,2.1875892,-0.004528178
-0.75526345,-0.39053804,0.47489125
-1.0469557,2.5590315,4.9240026
-1.2188505,1.351095,0.95261556
